Day,Highest Temp(°F),Lowest Temp(°F),Rain (inch),Snow (inch)
,,,,
1 Jan 2018,13.1,0.1,0,0
2 Jan 2018,19.2,4.1,0,0
3 Jan 2018,29.1,16.2,0,0
4 Jan 2018,30.2,22.1,1.35,13.39
5 Jan 2018,24.3,6.3,0,0
6 Jan 2018,12.2,1.2,0,0
7 Jan 2018,17.2,-1.8,0,0
8 Jan 2018,35.1,17.2,0,0
9 Jan 2018,43,31.1,0,0
10 Jan 2018,36,25.2,0,0
11 Jan 2018,51.1,33.1,0,0
12 Jan 2018,60.1,39,0.62,0
13 Jan 2018,61,19.2,1.24,0
14 Jan 2018,23.2,14.2,0,0
15 Jan 2018,21.2,12.2,0,0.31
16 Jan 2018,33.1,20.1,0,0
17 Jan 2018,34,31.1,0.21,1.69
18 Jan 2018,32,21.2,0,0
19 Jan 2018,34,23.2,0,0
20 Jan 2018,46.9,29.1,0,0
21 Jan 2018,48.9,34,0,0
22 Jan 2018,39,34,0.06,0
23 Jan 2018,55,32,1.26,0
24 Jan 2018,42.1,24.3,0,0
25 Jan 2018,30.2,21.2,0,0
26 Jan 2018,34,19.2,0,0
27 Jan 2018,53.1,25.2,0,0
28 Jan 2018,52,43,0.03,0
29 Jan 2018,43,28.2,0,0.12
30 Jan 2018,31.1,20.1,0.15,2.28
31 Jan 2018,30.2,18.1,0,0
,,,,
1 Feb 2018,46,30.2,0.04,0
2 Feb 2018,37.9,12.2,0.25,0.12
3 Feb 2018,28.2,10.2,0,0
4 Feb 2018,43,26.2,0.29,0
5 Feb 2018,43,24.3,0.36,0
6 Feb 2018,34,22.1,0,0
7 Feb 2018,43,23.2,0.65,2.09
8 Feb 2018,34,22.1,0,0
9 Feb 2018,32,22.1,0,0
10 Feb 2018,52,30.2,0.16,0
11 Feb 2018,48.9,37.9,0.69,0
12 Feb 2018,48,33.1,0,0
13 Feb 2018,33.1,25.2,0,0
14 Feb 2018,46.9,28.2,0,0
15 Feb 2018,48.9,35.1,0,0
16 Feb 2018,54,34,0.02,0
17 Feb 2018,35.1,27.1,0.17,1.89
18 Feb 2018,44.1,32,0.35,3.7
19 Feb 2018,50,26.2,0.06,0
20 Feb 2018,70,42.1,0.01,0
21 Feb 2018,72,41,0,0
22 Feb 2018,55,32,0.08,0.51
23 Feb 2018,39.9,31.1,0.12,0
24 Feb 2018,55,37,0,0
25 Feb 2018,41,37,0.51,0
26 Feb 2018,51.1,37.9,0,0
27 Feb 2018,53.1,36,0,0
28 Feb 2018,60.1,39,0.01,0
,,,,
,,,,
1 Mar 2018,60.1,39.9,0,0
2 Mar 2018,43,35.1,2.3,0
3 Mar 2018,43,37,0,0
4 Mar 2018,41,36,0,0
5 Mar 2018,44.1,32,0.05,0.59
6 Mar 2018,37,33.1,0,0
7 Mar 2018,39,33.1,0.55,2.52
8 Mar 2018,37.9,31.1,0.71,3.9
9 Mar 2018,37,29.1,0,0
10 Mar 2018,39.9,33.1,0,0
11 Mar 2018,44.1,31.1,0,0
12 Mar 2018,42.1,29.1,0,0
13 Mar 2018,37.9,28.2,1.15,14.49
14 Mar 2018,41,29.1,0.03,0.31
